Team,Year,Champion,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,opp_pf_per_g,opp_pts_per_g,wins,losses,mov,sos,srs,off_rtg,def_rtg,efg_pct,tov_pct,orb_pct,drb_pct,ft_rate,opp_efg_pct,opp_tov_pct,opp_ft_rate,WIN%
ATL,1991,0,40.8,88.1,0.464,37.5,77.9,0.482,3.3,10.2,0.324,24.8,31.0,0.8,15.1,29.5,44.6,22.7,8.9,4.6,15.0,21.6,109.8,24.8,109.0,43.0,39.0,0.77,-0.05,0.72,110.9,110.1,0.482,12.9,33.1,69.1,0.282,0.509,13.7,0.22,0.524390243902439
ATL,1992,0,42.6,91.2,0.467,40.0,83.0,0.482,2.6,8.2,0.313,18.5,25.3,0.731,15.7,30.5,46.2,25.9,9.7,3.9,15.3,21.6,106.2,21.1,107.7,38.0,44.0,-1.5,0.35,-1.15,107.3,108.9,0.481,13.0,33.6,68.3,0.203,0.497,13.2,0.209,0.4634146341463415
ATL,1993,0,41.4,88.7,0.466,36.7,75.6,0.486,4.7,13.1,0.355,20.1,27.1,0.742,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22.0,107.5,22.9,108.4,43.0,39.0,-0.87,0.2,-0.67,109.3,110.2,0.493,14.0,34.8,68.5,0.227,0.516,14.6,0.224,0.524390243902439
ATL,1994,0,39.6,85.8,0.461,36.3,75.7,0.48,3.3,10.1,0.323,19.0,25.2,0.752,15.2,29.5,44.8,25.1,11.2,5.5,15.3,19.8,101.4,21.0,96.2,57.0,25.0,5.27,-0.33,4.94,107.2,101.7,0.48,13.6,34.6,67.7,0.221,0.475,16.0,0.185,0.6951219512195121
ATL,1995,0,36.4,81.5,0.447,29.8,62.2,0.48,6.6,19.3,0.341,17.2,23.8,0.724,13.5,27.7,41.2,21.4,9.0,5.0,14.9,22.0,96.6,22.1,95.3,42.0,40.0,1.28,-0.22,1.06,106.6,105.2,0.487,13.9,31.6,68.4,0.211,0.495,15.6,0.215,0.5121951219512195
ATL,1996,0,36.4,81.3,0.448,29.5,61.8,0.477,6.9,19.5,0.355,18.6,24.5,0.757,14.4,26.2,40.6,19.6,9.4,3.9,15.0,20.9,98.3,22.0,97.1,46.0,36.0,1.22,0.07,1.29,109.4,108.0,0.49,14.0,34.0,67.1,0.229,0.512,16.3,0.217,0.5609756097560976
ATL,1997,0,34.3,76.9,0.446,26.3,54.5,0.481,8.0,22.4,0.359,18.2,23.8,0.763,12.5,28.7,41.1,19.0,8.5,5.2,15.0,19.4,94.8,21.3,89.4,56.0,26.0,5.44,0.08,5.52,108.5,102.3,0.498,14.6,31.5,69.2,0.236,0.472,15.0,0.191,0.6829268292682927
ATL,1998,0,35.2,77.5,0.455,31.1,65.1,0.478,4.1,12.4,0.332,21.3,28.2,0.756,13.5,29.5,43.0,19.1,8.0,6.0,14.8,20.4,95.9,23.1,92.3,50.0,32.0,3.51,0.34,3.85,108.2,104.3,0.481,14.1,33.9,69.1,0.275,0.468,13.0,0.194,0.6097560975609756
ATL,1999,0,30.8,75.2,0.409,26.8,62.3,0.431,3.9,12.9,0.306,20.8,28.4,0.731,13.5,30.0,43.5,15.6,6.9,5.2,14.9,19.7,86.3,24.0,83.4,31.0,19.0,2.9,-0.08,2.82,100.5,97.1,0.436,14.5,33.1,72.1,0.277,0.437,13.4,0.202,0.62
ATL,2000,0,36.6,83.0,0.441,33.4,73.1,0.458,3.1,9.9,0.317,18.0,24.2,0.743,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0,94.3,22.3,99.7,28.0,54.0,-5.38,-0.04,-5.41,102.0,107.9,0.46,14.1,31.7,71.0,0.217,0.481,11.3,0.196,0.3414634146341463
